	emotion	valence	arousal
id-1285_AU11-33_AU17-33_AU5-100_AU7-33	surprise	-0.3134122096274777	-0.278085399871779
id-1285_AU11-33_AU20-66_AU4-66	sadness	-0.08695830093710358	-0.1250025575970864
id-1285_AU11-66_AU4-33	disgust	-0.06703035697235067	-0.5199381743530985
id-1285_AU12-33_AU17-100_AU26-100_AU43-66	happiness	0.3858774604083972	0.13315489830993985
id-1285_AU12-66_AU20-100	happiness	0.27355632169797167	-0.26178071844607204
id-1285_AU15-100_AU17-33_AU7-66_AU9-33	disgust	-0.23913532757703485	0.2907668187584401
id-1285_AU16Open-100	surprise	-0.00815234071285346	-0.32337618160985393
id-1285_AU16Open-33_AU5-33	fear	-0.11050950744090247	-0.0688419882418737
id-1285_AU24-66_AU9-66	anger	-0.296201712567009	-0.4139577450860037
id-1285_AU26-100_AU4-66_AU7-100_AU9-33	disgust	-0.28986100312367863	0.161235182987546
id-1285_AU26-33_AU5-100	surprise	-0.4429438453983714	0.1250025575970864
id-1285_AU27i-100_AU4-33_AU6-100	surprise	-0.19022128329991403	0.366855332078406
id-1289_AU1-100_AU10Open-66_AU12-66_AU17-100_AU25-100	happiness	0.14945957973564675	0.3695727789826902
id-1289_AU1-100_AU12-100_AU13-100_AU17-33	happiness	0.2654039809851183	0.10779206053661801
id-1289_AU1-100_AU13-100_AU4-33	sadness	-0.24457022138560386	0.19837362401276756
id-1289_AU1-66_AU12-100_AU27i-100	happiness	0.2663097966198797	0.2771795842370177
id-1289_AU10Open-100_AU4-66_AU43-33	sadness	-0.3641378851741212	-0.3641378851741212
id-1289_AU10Open-33_AU2-66_AU24-66	anger	-0.5135974649097681	-0.17663404877849165
id-1289_AU10Open-66_AU15-66_AU43-100_AU7-100	disgust	-0.3695727789826902	-0.0625012787985432
id-1289_AU11-100_AU7-100	disgust	-0.26359234971559525	-0.8668655624667513
id-1289_AU14-33_AU25-100_AU27i-66_AU7-33	surprise	-0.07608851331996563	0.18659802076086807
id-1289_AU17-33_AU26-66	surprise	-0.035326809755698	-0.29529589693224767
id-1289_AU2-100	surprise	-0.0842408540328191	-0.402182141834104
id-1289_AU20-33_AU26-66_AU9-66	disgust	-0.5163149118140525	0.6549047039325613
id-1289_AU22-33_AU4-33_AU6-66	anger	-0.07337106641568114	-0.6277302348897165
id-1290_AU1-66_AU22-33_AU25-66	surprise	0.10869787617137948	-0.7690374739125099
id-1290_AU10Open-33_AU14-66_AU24-66	anger	-0.037138441025221326	0.07155943514615833
id-1290_AU10Open-33_AU2-66_AU9-33	disgust	-0.21739575234275896	0.0163046814257069
id-1290_AU11-100_AU15-33	disgust	-0.17663404877849165	-0.07880596022425011
id-1290_AU11-33_AU5-66	anger	-0.14130723902279332	0.105980429267095
id-1290_AU11-66_AU16Open-100_AU43-33_AU6-33	surprise	-0.010869787617137949	-0.5951208720383027
id-1290_AU12-66_AU15-33_AU24-33	happiness	0.06521872570282768	0.04347915046855179
id-1290_AU13-100_AU20-33_AU25-33	anger	-0.13677816084898584	-0.19203291456943705
id-1290_AU14-66_AU16Open-100_AU27i-33	surprise	-0.1875038363956296	0.08695830093710358
id-1290_AU2-100_AU20-33_AU24-33_AU25-66_AU6-66	anger	-0.1630468142570692	0.13587234521422434
id-1290_AU2-100_AU9-66	anger	-0.3206587347055695	-0.1277200045013709
id-1290_AU20-100_AU43-100	surprise	-0.1440246859270778	-0.1250025575970864
id-1290_AU22-33	anger	-0.0027174469042844864	-0.002717446904284486
id-1290_AU24-100_AU9-33	anger	-0.21196085853419	0.2744621373327332
id-1290_AU24-33_AU25-66_AU4-66	anger	-0.3967472480255351	-0.23913532757703485
id-1291_AU1-100_AU14-100_AU24-66	happiness	0.27536795296749467	-0.11775603251899443
id-1291_AU1-100_AU16Open-100_AU6-33	anger	0.01630468142570692	-0.2572516402722647
id-1291_AU10Open-66_AU13-33_AU4-33_AU6-100	disgust	-0.28533192494987114	0.07337106641568114
id-1291_AU10Open-66_AU15-33_AU20-100_AU4-100	sadness	-0.18659802076086832	-0.06250127879854332
id-1291_AU10Open-66_AU22-66_AU27i-66_AU9-100	fear	-0.7364281110610958	0.4402263984940868
id-1291_AU12-33_AU17-100_AU5-66	happiness	0.25815745590702627	-0.2590632715417877
id-1291_AU14-100_AU15-66	happiness	0.048914044277120754	-0.6811733573406448
id-1291_AU14-33_AU7-33	disgust	0.15217702663993127	-0.6186720785421015
id-1291_AU15-100_AU22-66	sadness	0.13043745140565538	-0.7690374739125098
id-1291_AU15-66_AU20-66_AU7-100	sadness	-0.3532680975569833	-0.2581574559070263
id-1291_AU2-66_AU43-100_AU9-100	disgust	-0.21467830543847446	-0.4837055489626387
id-1291_AU20-33_AU24-100_AU25-33_AU27i-100	fear	0.02626865340808338	-0.2626865340808337
id-1291_AU4-100_AU43-33_AU7-66	sadness	-0.026268653408083372	-0.43297987341599486
id-1293_AU1-100_AU12-33_AU13-33_AU22-100	happiness	0.03532680975569833	-0.5489242746654663
id-1293_AU1-33_AU22-33_AU27i-100	surprise	-0.06793617260711217	0.4103344825469576
id-1293_AU1-33_AU27i-100_AU43-100_AU6-66	fear	-0.3994646949298196	0.3777251196955437
id-1293_AU10Open-100_AU11-33_AU14-33_AU22-33_AU27i-33	surprise	0.0634070944333047	0.07971177585901167
id-1293_AU10Open-66_AU26-100_AU27i-66_AU6-100	fear	-0.7174059827311046	0.6929489605925442
id-1293_AU13-100	happiness	0.09148737911091105	-0.6059906596554405
id-1293_AU14-33_AU15-33_AU43-66	happiness	0.15761192044850025	-0.3695727789826902
id-1293_AU15-33_AU17-100_AU27i-33_AU7-100	fear	-0.33424596922699185	0.5516417215697509
id-1293_AU17-66_AU22-100_AU26-100_AU5-100	fear	-0.39312398548648914	0.5217498056226215
id-1293_AU2-33_AU25-33_AU7-100	surprise	-0.02717446904284487	-0.13587234521422434
id-1293_AU2-66_AU22-33_AU26-66_AU9-66	fear	-0.30163660637557804	-0.5652289560911733
id-1293_AU22-66_AU25-100_AU5-33_AU9-33	anger	-0.2817086624108252	0.01630468142570692
id-1293_AU24-33_AU27i-33_AU4-33	sadness	-0.27536795296749467	-0.479176470788831
id-1293_AU6-33_AU7-66	disgust	-0.12772000450137097	-0.3260936285141383
id-1294_AU10Open-66_AU27i-66_AU43-33_AU7-66	surprise	0.113226954345187	-0.4592485268240784
id-1294_AU11-33_AU14-33_AU17-33_AU4-100	happiness	0.14945957973564675	-0.3722902258869748
id-1294_AU11-66_AU20-33_AU25-33	fear	-0.041667519199029	-0.5199381743530983
id-1294_AU11-66_AU43-33_AU5-33	disgust	0.07337106641568114	-0.8288213058067685
id-1294_AU12-100_AU24-66_AU27i-33	fear	-0.29891915947129355	0.2364178806727504
id-1294_AU12-33_AU13-33_AU15-100_AU22-33	happiness	0.5679464029954578	-0.20109107091705203
id-1294_AU13-100_AU2-66_AU6-33	happiness	0.2880493718541556	-0.11956766378851742
id-1294_AU13-33	happiness	0.0625012787985432	-0.836973646519622
id-1294_AU13-33_AU26-33_AU27i-100_AU9-66	fear	0.09782808855424154	0.2255480930556124
id-1294_AU13-66_AU15-33_AU24-100_AU4-66	sadness	0.06340709443330465	-0.458342711189317
id-1294_AU15-66_AU2-66_AU6-100	surprise	-0.10326298236281067	-0.44475547666789433
id-1294_AU16Open-100_AU20-33_AU43-33	surprise	0.06521872570282768	-0.8695830093710358
id-1294_AU16Open-66_AU7-100	happiness	0.21739575234275896	-0.30163660637557804
id-1295_AU1-100_AU16Open-100_AU24-33_AU4-100	sadness	-0.2907668187584401	-0.4755532082497852
id-1295_AU1-33_AU14-33_AU6-66	happiness	0.14402468592707768	-0.8179515181896306
id-1295_AU1-33_AU16Open-100_AU22-66_AU4-33	sadness	-0.14130723902279332	-0.6331651286982856
id-1295_AU10Open-33_AU11-66_AU17-33_AU5-100	anger	-0.6141430003682941	0.1847863894913451
id-1295_AU10Open-66_AU20-66_AU27i-66	fear	-0.2907668187584401	0.3695727789826902
id-1295_AU11-33_AU12-100_AU13-100_AU20-33_AU9-66	anger	-0.33968086303556083	0.33152852232270735
id-1295_AU11-66_AU13-66_AU17-33_AU9-66	anger	-0.19022128329991408	-0.4592485268240783
id-1295_AU11-66_AU24-66_AU43-100_AU6-33	disgust	0.02445702213856038	-0.39765306366029657
id-1295_AU12-33_AU2-66_AU27i-66	happiness	0.12137929505804039	-0.07155943514615816
id-1295_AU12-66_AU17-66_AU25-66_AU9-100	happiness	0.11141532307566396	0.1277200045013709
id-1295_AU13-33_AU5-66	anger	-0.3641378851741212	0.6413174694111391
id-1295_AU15-66_AU17-33_AU20-33_AU25-66	disgust	-0.29257845002796334	-0.171199154969923
id-1295_AU22-66_AU4-100	anger	-0.03532680975569833	0.4972927834840611
id-1295_AU24-100_AU27i-33	surprise	-0.19112709893467558	0.11232113871042543
id-1296_AU1-33_AU14-66_AU15-66_AU5-100	surprise	-0.12862582013613238	-0.2608749028113108
id-1296_AU1-66_AU17-100_AU27i-33_AU4-66_AU5-100	sadness	-0.1911270989346757	-0.29801334383653194
id-1296_AU11-66_AU26-66_AU4-66_AU6-100	surprise	-0.100545535458526	0.4320740577812335
id-1296_AU12-100_AU14-66_AU17-100	happiness	-0.11413276997994845	-0.31522384089700045
id-1296_AU12-100_AU9-33	disgust	-0.2780853998717794	-0.22373646178608933
id-1296_AU12-66_AU6-66	happiness	0.1032629823628105	-0.36685533207840576
id-1296_AU13-66_AU14-100_AU17-66	happiness	0.37772511969554334	-0.34511575684412965
id-1296_AU14-66_AU4-66_AU43-100_AU6-66	sadness	0.017210497060468427	-0.19746780837800607
id-1296_AU15-66_AU24-66	sadness	-0.04619659737283628	-0.5135974649097681
id-1296_AU16Open-100_AU17-100_AU27i-33	fear	-0.2663097966198797	0.11141532307566396
id-1296_AU17-66_AU26-66_AU4-66	sadness	-0.3913123542169661	0.04891404427712077
id-1296_AU22-33_AU24-100_AU7-33_AU9-100	disgust	-0.2282655399598969	-0.6413174694111391
id-1296_AU22-66_AU24-66_AU25-66_AU5-66_AU6-100	surprise	-0.11050950744090267	-0.44384966103313267
